Comment,Designator,Footprint,LCSC
"1u","C1","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"10u","C2,C10,C11","stepper_probe:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"12pf","C3,C5","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"10u 50v","C7","stepper_probe:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"100n 50V","C8","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"100n","C4,C6,C9,C12","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"LED","D1,D2,D3","stepper_probe:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",""
"MB1S","D4,D5","stepper_probe:DIODE_BRIDGE",""
"1N5819WS","D6","stepper_probe:D_SOD-323_HandSoldering",""
"Conn_01x04_Male","J1,J2","stepper_probe:connector_4pins_horizontal",""
"BAT","J3,J6","stepper_probe:PinHeader_1x02_P2.54mm_Vertical",""
"Serial Port","J4","stepper_probe:PinHeader_1x04_P2.54mm_Vertical",""
"SWD","J5","stepper_probe:PinHeader_2x05_P1.27mm_Vertical_SMD",""
"10uh","L2","stepper_probe:coil_10uh",""
"15nh","L3","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"Motor","M1","stepper_probe:Empty",""
"10K","R10","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"10R","R1,R2,R3,R4","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"5K1","R5,R6,R7","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"1K","R8,R9","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"SW_Push","SW1","stepper_probe:SW_Push_SPST_NO_Alps_SKRK",""
"TMCS1108A4BQDT","U1,U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"MDBT42Q-512KV2","U3","stepper_probe:RAYTAC_MDBT42Q",""
"K7803MT-500R4","U4","stepper_probe:Converter_DCDC",""
"M24C02-FMN","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"32.768Khz","Y1","stepper_probe:Crystal_SMD_3215-2Pin_3.2x1.5mm",""
