Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.094100,-78.028800,0.000000,top
"C2","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.232100,-78.968600,180.000000,top
"C3","12pf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.657300,-80.492600,0.000000,top
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",165.332600,-99.479100,180.000000,top
"C5","12pf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.657300,-85.572600,180.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",156.311600,-99.479100,180.000000,top
"C7","10u 50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.679400,-98.196400,90.000000,top
"C8","100n 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",150.939500,-97.866200,90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",143.189960,-90.246200,180.000000,top
"C10","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.149320,-87.299800,180.000000,top
"C11","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.149320,-88.869520,180.000000,top
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.934680,-87.050880,180.000000,top
"C13","DNI","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",163.471600,-94.805600,270.000000,top
"C14","DNI","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.471600,-94.873100,270.000000,top
"D1","LED R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",165.874700,-76.922900,270.000000,top
"D2","LED Y","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",167.970200,-76.922900,270.000000,top
"D3","LED R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",147.896520,-89.896820,180.000000,top
"J1","Conn_01x04_Male","connector_4pins_horizontal",155.803600,-101.955600,180.000000,top
"J2","Conn_01x04_Male","connector_4pins_horizontal",166.471600,-101.955600,180.000000,top
"J3","BAT","PinHeader_1x02_P2.54mm_Vertical_JLCPCB_SMD",141.452600,-106.009440,90.000000,top
"J5","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",145.237200,-75.031600,180.000000,top
"L2","10uh","coil_10uh",158.851600,-77.419200,0.000000,top
"L3","15nh","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.090100,-76.758800,0.000000,top
"Q1","PJA3439","SOT-23_JLCPCB",146.014440,-106.740960,0.000000,top
"R1","300k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.085560,-103.875840,180.000000,top
"R5","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.908620,-88.753820,180.000000,top
"R6","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",164.922200,-76.923900,270.000000,top
"R7","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",167.017700,-76.923900,270.000000,top
"R8","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-87.096600,0.000000,top
"R9","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-88.138000,0.000000,top
"R10","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.440400,-80.233520,180.000000,top
"R11","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-89.408000,180.000000,top
"R12","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-90.474800,180.000000,top
"R14","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.841720,-88.176700,90.000000,top
"R15","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.260040,-77.419200,0.000000,top
"R16","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",158.993840,-92.857320,180.000000,top
"R17","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",168.090180,-92.842080,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",170.472100,-74.333100,90.000000,top
"U1","CC6920BSO-5A","SOIC-8_LCPCB_ROT",158.978600,-96.240600,90.000000,top
"U2","CC6920BSO-5A","SOIC-8_LCPCB_ROT",167.995600,-96.240600,90.000000,top
"U3","MDBT42Q-512KV2","RAYTAC_MDBT42Q",163.093400,-85.432900,270.000000,top
"U4","K7803MT-500R4","Converter_DCDC",144.945100,-95.669100,90.000000,top
"U5","M24C02-FMN","SOIC-8_LCPCB_ROT",145.247360,-83.672680,90.000000,top
"Y1","32.768Khz","Crystal_SMD_3215-2Pin_3.2x1.5mm",153.657300,-83.032600,90.000000,top
