Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.094100,-78.028800,0.000000,top
"C2","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.232100,-78.968600,180.000000,top
"C3","12pf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.657300,-80.492600,0.000000,top
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",165.332600,-99.479100,180.000000,top
"C5","12pf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.657300,-85.572600,180.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",156.311600,-99.479100,180.000000,top
"C7","10u 50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.501600,-97.955100,90.000000,top
"C8","100n 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",150.850600,-97.193100,90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.213200,-87.160100,180.000000,top
"C10","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.175100,-88.430100,180.000000,top
"C11","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.175100,-89.954100,180.000000,top
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.082000,-87.172800,180.000000,top
"C13","DNI","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",163.471600,-94.805600,270.000000,top
"C14","DNI","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.471600,-94.873100,270.000000,top
"D1","LED R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",165.874700,-76.922900,270.000000,top
"D2","LED Y","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",167.970200,-76.922900,270.000000,top
"D3","LED R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",148.054000,-89.647900,0.000000,top
"D4","MB1S","DIODE_BRIDGE",147.739100,-106.527600,270.000000,top
"D5","MB1S","DIODE_BRIDGE",142.341600,-106.464100,270.000000,top
"D6","1N5819WS","D_SOD-323_HandSoldering",140.817600,-88.620600,90.000000,top
"J5","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",145.237200,-75.031600,270.000000,top
"L2","10uh","coil_10uh",158.851600,-77.419200,0.000000,top
"L3","15nh","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.090100,-76.758800,0.000000,top
"R1","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",143.548100,-111.480600,0.000000,top
"R2","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.198600,-111.480600,0.000000,top
"R3","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.723100,-111.544100,0.000000,top
"R4","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.072600,-111.544100,0.000000,top
"R5","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.066100,-88.504900,180.000000,top
"R6","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",164.922200,-76.923900,270.000000,top
"R7","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",167.017700,-76.923900,270.000000,top
"R8","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-87.096600,0.000000,top
"R9","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-88.138000,0.000000,top
"R10","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.655700,-80.213200,180.000000,top
"R11","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-89.408000,180.000000,top
"R12","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.657300,-90.474800,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",170.472100,-74.333100,90.000000,top
"U1","TMCS1108A4BQDT","SOIC-8_3.9x4.9mm_P1.27mm",158.978600,-96.240600,180.000000,top
"U2","TMCS1108A4BQDT","SOIC-8_3.9x4.9mm_P1.27mm",167.995600,-96.240600,180.000000,top
"U3","MDBT42Q-512KV2","RAYTAC_MDBT42Q",163.093400,-85.432900,270.000000,top
"U4","K7803MT-500R4","Converter_DCDC",144.945100,-95.669100,180.000000,top
"U5","M24C02-FMN","SOIC-8_3.9x4.9mm_P1.27mm",146.786600,-83.667600,180.000000,top
"Y1","32.768Khz","Crystal_SMD_3215-2Pin_3.2x1.5mm",153.657300,-83.032600,90.000000,top
