Comment,Designator,Footprint,LCSC
"1u","C1","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C52923"
"DNI","C13,C14","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","DNP"
"10u","C2,C10,C11","stepper_probe:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C96446"
"12pf","C3,C5","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C26406"
"100n","C4,C6,C9,C12","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C307331"
"10u 50v","C7","stepper_probe:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C440198"
"100n 50V","C8","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C307331"
"LED Y","D2","stepper_probe:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C165978"
"LED R","D1,D3","stepper_probe:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C165980"
"MB1S","D4,D5","stepper_probe:DIODE_BRIDGE","C232821 "
"1N5819WS","D6","stepper_probe:D_SOD-323_HandSoldering","C191023"
"Conn_01x04_Male","J1,J2","stepper_probe:connector_4pins_horizontal",""
"BAT","J3,J6","stepper_probe:PinHeader_1x02_P2.54mm_Vertical",""
"Serial Port","J4","stepper_probe:PinHeader_1x04_P2.54mm_Vertical",""
"SWD","J5","stepper_probe:PinHeader_2x05_P1.27mm_Vertical_SMD","C2935458"
"Conn_01x01_Female","J7","stepper_probe:BAT_PLUS_PAD","DNP"
"Conn_01x01_Female","J8","stepper_probe:BAT_MINUS_PAD","DNP"
"10uh","L2","stepper_probe:coil_10uh","C107342"
"15nh","L3","stepper_probe:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C27143"
"Motor","M1","stepper_probe:Empty","DNP"
"10K","R10","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25744"
"DNP","R11,R12","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","DNP"
"10R","R1,R2,R3,R4","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25077"
"5K1","R5,R6,R7","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25905"
"1K","R8,R9","stepper_probe:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C11702"
"SW_Push","SW1","stepper_probe:SW_Push_SPST_NO_Alps_SKRK","C720477"
"CC6920BSO-5A","U1,U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C2880430"
"MDBT42Q-512KV2","U3","stepper_probe:RAYTAC_MDBT42Q",""
"K7803MT-500R4","U4","stepper_probe:Converter_DCDC","C2692194"
"M24C02-FMN","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7562"
"32.768Khz","Y1","stepper_probe:Crystal_SMD_3215-2Pin_3.2x1.5mm","C479190"
